TIPLOC,NAME,EASTING,NORTHING
PERTHSC,PERTH SOUTH C.E.,311376,722667
PERTHST,PERTH S.& T.E.,311353,722737
PHBR61,PORTSMOUTH HBR SIG HT61,464004,100241
PKWD071,PADDOCK WOOD SIGNAL AD2071,566476,145329
PKWD086,PADDOCK WOOD SIG 2086,567650,145747
PLYM120,PLYMOUTH GRND POSN SIG 120,248047,55568
PLYM124,PLYMOUTH GRND POSN SIG 124,247959,55507
PLYM131,PLYMOUTH GROUND SIGNAL 131,247127,55279
POOL210,POOLE SIGNAL PW5210,400826,92172
PRFLVWR,PURFLEET DEEP WATER VWR,556535,177652
PRKJNTH,PARK NORTH JCN,328638,186444
PRKSNFL,PARKESTON NEW YARD FL,623352,232583
PRTCGBR,PORT CLARENCE (GBRF),450840,521259
PRTCPHL,PHILLIPS LOOP,450616,521306
PRTOBJP,PORTOBELLO JN (LONDON),524655,181891
PSEA571,PORTSMTH & S'SEA SIG HT571,464835,100152
PSEA573,PORTSMTH & S'SEA SIG HT573,464738,100169
PTALEA,PORT TALBOT EAST,277631,188300
PYECRNR,PYE CORNER,328043,187337
RUGB655,RUGBY SIGNAL KR9655,451695,275725
RUGB669,RUGBY SIGNAL RN9669,447497,277548
RUGB671,RUGBY SIGNAL RN9671,446897,278191
RUGBRTR,RUGBY RTR DEPOT,450494,276092
RUGL405,RUGELEY SIG RR9405,404915,317882
RYMYNGF,RHYMNEY NORTH GF,311019,207716
RYMYSGF,RHYMNEY SOUTH GF,311436,206981
SCNTARS,SCUNTHORPE ANCHOR REP SDGS,491567,412005
SCROSB,SCROPTON S.B(MCG),419213,330150
SDON212,SWINDON SIGNAL SW1212,414284,184775
SDONSGB,SWINDON STORES GBRF,414798,185114
SDONSTO,SWINDON STORES,414791,185110
SEAHPOL,DAWDON POLKA SIDING,442329,549324
SELHGRJ,GLOUCESTER ROAD JUNCTION,533250,167117
SEVT228,SEVERN TUNNEL SIG NT1228,344303,187289
SEVT730,SEVERN TUNNEL SIG NT1730,344548,187384
SEVTUGL,SEVERN TUNNEL UGL,347416,187599
SHCK416,SHACKLEGATE JN SIGNAL F416,515504,171904
SHEFS82,SHEFFIELD SIGNAL S82,435933,386406
SHEPUSD,SHEPPERTON UP SIDINGS,508133,167564
SHLDNO1,SHIELDS JN NO.1 LINE,256431,663944
SHLIERG,ST HELIER GROUND FRAME,525322,166814
SHRW15,SUTTON BRIDGE JN SIG 15,349787,311487
SHRW34,SUTTON BRIDGE JN SIG 34,349906,312018
SIDC538,SIDCUP SIGNAL NK1538,546856,172683
SKPT549,SKIPTON STH JN SIG L4549,398629,449246
SLATRCE,TIPLOC does not exist,322790,671387
SLEFDTS,SLEAFORD TAMPER SIDING,506494,345459
SLEFDUS,SLEAFORD UP SIDING,506153,345510
SLSB215,SALISBURY SIGNAL SY215,414175,130509
SOAVPWY,STRATFORD PARKWAY,417926,256876
SPALDUS,SPALDING UP SIDINGS,524512,323195
SPH4459,SHEPHERDS WELL SIG EK4459,625521,148877
SRUI67R,SOUTH RUISLIP SIG ME67R,512866,184663
STAFA12,STAFFORD ARRIVAL SDG 1 & 2,392027,322642
STAFFNJ,STAFFORD NORTH JN,391270,323484
STAFTVJ,STAFFORD TRENT VALLEY JN,392803,321971
STAI467,STAINES SIGNAL F467,504461,171419
STAJN92,ST ANDREWS JN SIG SY92,409065,287052
STAN366,STANSTED AIRPORT SIG L1366,555330,223120
